City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Meaux,FR,48.9167,3.0,64.63,85,76,3.83,broken clouds
160,Klaksvik,FO,62.2266,-6.589,49.12,82,100,6.71,overcast clouds
161,Nova Olimpia,BR,-14.7972,-57.2881,72.5,44,2,1.43,clear sky
162,Alma,CA,48.5501,-71.6491,73.74,68,100,6.91,overcast clouds
163,Green River,US,41.5286,-109.4662,86.4,26,40,11.86,scattered clouds
164,Bluff,NZ,-46.6,168.3333,44.8,71,1,4.25,clear sky
165,Bethel,US,41.3712,-73.414,79.68,88,0,0.0,clear sky
166,Katobu,ID,-4.9408,122.5276,82.83,59,23,6.35,few clouds
167,Kyaikto,MM,17.3,97.0167,75.2,96,100,5.99,overcast clouds
168,Koson,UZ,39.0375,65.585,79.12,13,0,7.4,clear sky
169,Vardo,NO,70.3705,31.1107,51.78,87,40,9.22,scattered clouds
170,Thompson,CA,55.7435,-97.8558,57.36,82,100,5.75,overcast clouds
171,Karaj,IR,35.8355,51.0103,81.12,64,0,13.8,clear sky
172,Tiksi,RU,71.6872,128.8694,46.9,84,98,6.17,overcast clouds
173,Dingzhou,CN,38.5131,114.9956,77.11,50,0,8.16,clear sky
174,Salinopolis,BR,-0.6136,-47.3561,78.46,85,67,9.89,broken clouds
175,Gat,IL,31.61,34.7642,75.88,100,0,0.89,clear sky
176,Newport,GB,51.5877,-2.9984,59.68,81,92,6.4,overcast clouds
177,Pingliang,CN,35.5392,106.6861,73.56,55,0,7.56,clear sky
178,Mount Gambier,AU,-37.8333,140.7667,55.31,88,100,12.66,overcast clouds
179,Alappuzha,IN,9.49,76.3264,78.01,85,100,5.32,overcast clouds
180,Touros,BR,-5.1989,-35.4608,74.3,88,62,13.04,broken clouds
181,Pa Daet,TH,19.5049,99.9924,81.05,90,100,4.09,overcast clouds
182,Shiyan,CN,32.6475,110.7781,81.01,61,0,6.53,clear sky
183,Labuhan,ID,-6.8844,112.2051,81.07,71,14,7.23,few clouds
184,Kirakira,SB,-10.4544,161.9205,84.97,68,8,5.61,clear sky
185,Cabo San Lucas,MX,22.8909,-109.9124,92.5,59,46,1.99,scattered clouds
186,Vila Franca Do Campo,PT,37.7167,-25.4333,71.2,84,98,1.03,overcast clouds
187,Vaitape,PF,-16.5167,-151.75,78.6,75,10,11.43,clear sky
188,Batemans Bay,AU,-35.7167,150.1833,57.09,65,74,3.04,broken clouds
189,Lavrentiya,RU,65.5833,-171.0,47.05,75,95,15.1,overcast clouds
190,Quelimane,MZ,-17.8786,36.8883,66.15,94,20,0.0,few clouds
191,Kavaratti,IN,10.5669,72.642,81.1,79,100,19.89,overcast clouds
192,Husavik,IS,66.0449,-17.3389,47.28,92,27,2.71,scattered clouds
193,Vila,PT,42.0304,-8.1588,52.7,84,0,5.46,clear sky
194,Kamina,CD,-8.7386,24.9906,63.01,50,45,4.16,scattered clouds
195,Naze,JP,28.3667,129.4833,85.12,64,95,3.6,overcast clouds
196,Giarre,IT,37.7269,15.1877,79.79,53,0,4.68,clear sky
