City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Aklavik,CA,2022-07-21 23:45:06,68.2191,-135.0107,68.0,64,40,8.05
149,Sur,OM,2022-07-21 23:45:06,22.5667,59.5289,86.25,72,88,10.2
150,Lagoa,PT,2022-07-21 23:45:07,39.05,-27.9833,71.53,89,87,5.3
151,Bhanvad,IN,2022-07-21 23:45:07,21.9264,69.7736,80.37,84,100,11.99
152,Marsabit,KE,2022-07-21 23:45:08,2.3284,37.9899,59.59,82,16,21.85
153,Durban,ZA,2022-07-21 23:43:21,-29.8579,31.0292,65.01,86,94,3.0
154,Lashio,MM,2022-07-21 23:45:08,22.9333,97.75,69.8,98,89,1.48
155,Sabya,SA,2022-07-21 23:45:09,17.1495,42.6254,87.42,59,64,5.1
156,Airai,TL,2022-07-21 23:45:09,-8.9266,125.4092,62.06,68,97,3.96
157,Sakib,JO,2022-07-21 23:45:09,32.2833,35.8095,70.92,78,0,4.03
158,Eldorado,BR,2022-07-21 23:42:01,-23.7869,-54.2836,67.57,60,23,5.91
159,Hithadhoo,MV,2022-07-21 23:45:11,-0.6,73.0833,78.48,84,100,14.99
160,Amahai,ID,2022-07-21 23:45:12,-3.3333,128.9167,78.22,73,71,7.49
161,Camocim,BR,2022-07-21 23:43:26,-2.9022,-40.8411,78.39,79,64,10.18
162,Kiruna,SE,2022-07-21 23:45:12,67.8557,20.2251,50.92,82,100,3.44
163,Tabou,CI,2022-07-21 23:45:12,4.423,-7.3528,75.24,74,100,5.59
164,Kiama,AU,2022-07-21 23:45:13,-34.6833,150.8667,57.99,92,88,3.0
165,Aykhal,RU,2022-07-21 23:45:13,66.0,111.5,58.21,79,100,4.61
166,Harlingen,US,2022-07-21 23:45:13,26.1906,-97.6961,93.16,42,0,21.85
167,Sulangan,PH,2022-07-21 23:45:14,11.1373,123.7228,83.37,76,93,8.43
168,Bandarbeyla,SO,2022-07-21 23:42:08,9.4942,50.8122,76.51,77,13,27.94
169,West Richland,US,2022-07-21 23:44:45,46.3043,-119.3614,103.57,14,0,10.0
170,Nioro,GM,2022-07-21 23:40:48,13.35,-15.75,75.76,96,100,6.13
171,Yar-Sale,RU,2022-07-21 23:40:24,66.8333,70.8333,42.96,90,100,12.21
172,Bara,NG,2022-07-21 23:45:16,10.3744,10.7288,72.43,94,75,6.6
173,Nome,US,2022-07-21 23:44:46,64.5011,-165.4064,48.27,72,100,11.5
174,Viedma,AR,2022-07-21 23:40:28,-40.8135,-62.9967,44.04,49,98,9.75
175,Longyearbyen,SJ,2022-07-21 23:41:37,78.2186,15.6401,49.84,87,75,2.3
176,Mackay,AU,2022-07-21 23:45:17,-21.15,149.2,67.68,72,23,7.07
177,Matagami,CA,2022-07-21 23:45:17,49.7502,-77.6328,62.71,94,100,10.36
178,Amapa,BR,2022-07-21 23:45:18,1.0,-52.0,74.57,87,92,2.82
179,Guanambi,BR,2022-07-21 23:44:21,-14.2233,-42.7814,70.47,56,8,9.46
180,Srednekolymsk,RU,2022-07-21 23:45:18,67.45,153.6833,55.72,38,0,7.54
181,Torbay,CA,2022-07-21 23:45:19,47.6666,-52.7314,64.89,78,75,4.61
182,Aljustrel,PT,2022-07-21 23:45:19,37.8776,-8.1652,75.07,60,14,6.13
183,Mildura,AU,2022-07-21 23:45:20,-34.2,142.15,50.07,86,48,16.51
184,Praia Da Vitoria,PT,2022-07-21 23:45:20,38.7333,-27.0667,73.65,83,40,2.62
185,Carlsbad,US,2022-07-21 23:40:21,33.1581,-117.3506,94.37,68,0,11.5
186,Tual,ID,2022-07-21 23:46:20,-5.6667,132.75,78.91,69,76,18.54
187,Southbridge,US,2022-07-21 23:46:21,42.0751,-72.0334,87.04,97,75,5.46
188,Dikson,RU,2022-07-21 23:46:22,73.5069,80.5464,45.25,92,99,14.12
189,Great Yarmouth,GB,2022-07-21 23:46:22,52.6083,1.7305,60.03,81,35,7.49
190,Bethel,US,2022-07-21 23:44:13,41.3712,-73.414,85.33,77,31,8.59
191,Ostrovnoy,RU,2022-07-21 23:46:23,68.0531,39.5131,56.86,84,98,6.02
192,Saint-Augustin,CA,2022-07-21 23:46:23,51.226,-58.6502,64.35,65,74,2.75
193,Nadym,RU,2022-07-21 23:46:23,65.5333,72.5167,48.45,68,100,7.99
194,Ayios Vasilios,GR,2022-07-21 23:46:24,37.8,22.8,73.29,34,0,2.71
195,Malanje,AO,2022-07-21 23:46:24,-9.5402,16.341,69.03,48,89,4.03
196,Sayyan,YE,2022-07-21 23:46:24,15.1718,44.3244,63.0,67,58,1.72
197,Ranong,TH,2022-07-21 23:46:25,9.9658,98.6348,75.13,87,100,5.03
198,Boca Do Acre,BR,2022-07-21 23:46:25,-8.7522,-67.3978,78.35,56,5,1.36
199,Provideniya,RU,2022-07-21 23:46:26,64.3833,-173.3,42.91,87,100,27.0
200,Porto Santo,PT,2022-07-21 23:46:26,33.072,-16.3415,68.38,73,75,17.27
201,Opelousas,US,2022-07-21 23:46:27,30.5335,-92.0815,93.88,79,75,8.05
202,Port Elizabeth,ZA,2022-07-21 23:46:27,-33.918,25.5701,52.09,97,0,6.91
203,Hastings,GB,2022-07-21 23:46:27,50.8552,0.5729,64.78,83,70,15.26
204,Norfolk,US,2022-07-21 23:46:28,42.1668,-71.2495,83.82,70,0,9.22
205,Souillac,MU,2022-07-21 23:46:28,-20.5167,57.5167,68.38,77,40,11.5
